Date,open,high,low,Close,volume
2015-01-02,25.4538,25.6106,25.2969,25.4164,2555854
2015-01-05,24.7741,24.86,24.4231,24.5202,5437552
2015-01-06,24.5948,24.7293,24.2811,24.3633,4899822
2015-01-07,24.5351,24.6247,24.2363,24.5276,4918781
2015-01-08,25.1849,25.5583,25.1102,25.3865,4965265
2015-01-09,25.4986,25.5733,25.3156,25.4015,5909450
2015-01-12,25.6479,25.7376,25.5359,25.633,3992638
2015-01-13,25.9318,26.0587,25.4911,25.76,3879217
2015-01-14,25.633,25.7748,25.4911,25.7002,3726579
2015-01-15,25.6479,25.8347,25.506,25.6293,4056888
2015-01-16,25.8571,25.9168,25.6479,25.8347,3619711
2015-01-20,26.0289,26.2156,25.8944,26.1558,4179893
2015-01-21,26.4247,26.9251,26.3351,26.9102,5049187
2015-01-22,26.6338,26.94,26.5965,26.8952,4374895
2015-01-23,26.8803,26.9774,26.7309,26.8355,3023316
2015-01-26,26.7608,27.0073,26.6637,26.8952,2831506
2015-01-27,26.6936,27.0109,26.6114,26.8205,2544272
2015-01-28,26.94,26.955,26.5218,26.5442,3307774
2015-01-29,26.8131,26.8952,26.5293,26.843,3744325
2015-01-30,26.4546,26.5069,26.2081,26.238,4441372
2015-02-02,26.0438,26.3201,25.9691,26.2753,3619425
2015-02-03,26.4396,26.8728,26.4172,26.8205,3197217
2015-02-04,26.5815,26.8878,26.5741,26.701,4392022
2015-02-05,26.3874,26.4023,26.1708,26.2753,4666779
2015-02-06,26.2977,26.4695,26.1409,26.2081,3409109
2015-02-09,25.9392,26.0587,25.8421,25.9168,3419968
2015-02-10,26.1782,26.3874,26.0401,26.3201,4818516
2015-02-11,26.1409,26.2081,26.0289,26.1633,2161190
2015-02-12,26.4471,26.6712,26.3649,26.6712,3253108
2015-02-13,26.6114,26.8094,26.589,26.7757,2189369
2015-02-17,26.462,26.5815,26.411,26.4919,2263204
2015-02-18,26.1334,26.2148,25.8387,26.0289,3887008
2015-02-19,26.1409,26.3799,26.0363,26.3052,2559301
2015-02-20,26.4844,26.8504,26.3874,26.8205,5535140
2015-02-23,26.7533,26.9102,26.6786,26.8728,3230269
2015-02-24,26.0438,26.1484,25.8496,25.999,6081005
2015-02-25,25.8496,25.9297,25.6964,25.8459,3518205
2015-02-26,25.7674,25.872,25.7002,25.8272,2585901
2015-02-27,25.8048,25.9392,25.7525,25.8123,2266557
2015-03-02,25.8496,25.8571,25.7077,25.8272,2197059
2015-03-03,25.8571,25.9243,25.7749,25.8571,2567003
2015-03-04,25.872,25.9168,25.6704,25.8421,2383141
2015-03-05,25.7899,25.8496,25.6106,25.6703,3033699
2015-03-06,25.0803,25.1177,24.5388,24.6247,5290359
2015-03-09,24.7741,24.804,24.6172,24.6621,2553602
2015-03-10,24.6172,24.6172,24.2214,24.2363,3248801
2015-03-11,24.2811,24.311,24.072,24.1243,4611283
2015-03-12,24.3633,24.3857,24.0347,24.199,3519211
2015-03-13,24.0496,24.2102,23.9525,24.1766,2838680
2015-03-16,24.4231,24.6509,24.3634,24.5724,3253241
2015-03-17,24.2214,24.438,24.2214,24.4231,2543912
2015-03-18,24.6695,25.1177,24.5612,25.043,5579677
2015-03-19,24.9384,24.9982,24.7069,24.7592,3743600
2015-03-20,25.2596,25.5733,25.1401,25.3641,5297441
2015-03-23,25.3268,25.394,25.2073,25.3044,2523367
